date,description,amount,type,category
2024-04-01,Office Rent Payment,150000,expense,Rent
2024-04-02,Client Project - Phase 1,500000,income,Consulting
2024-04-05,Monthly Internet Subscription,25000,expense,Software
2024-04-10,Product Sales - Web Store,85000,income,Sales
2024-04-15,Team Lunch,12000,expense,Travel
2024-04-01,Office Rent Payment,150000,expense,Rent
2024-04-02,Client Project - Phase 1,500000,income,Consulting
2024-04-05,Monthly Internet Subscription,25000,expense,Software
2024-04-10,Product Sales - Web Store,85000,income,Sales
2024-04-15,Team Lunch,12000,expense,Travel
2024-04-01,Office Rent Payment,150000,expense,Rent
2024-04-02,Client Project - Phase 1,500000,income,Consulting
2024-04-05,Monthly Internet Subscription,25000,expense,Software
2024-04-10,Product Sales - Web Store,85000,income,Sales
2024-04-15,Team Lunch,12000,expense,Travel
2024-04-01,Office Rent Payment,150000,expense,Rent
2024-04-02,Client Project - Phase 1,500000,income,Consulting
2024-04-05,Monthly Internet Subscription,25000,expense,Software
2024-04-10,Product Sales - Web Store,85000,income,Sales
2024-04-15,Team Lunch,12000,expense,Travel
2024-04-01,Office Rent Payment,150000,expense,Rent
2024-04-02,Client Project - Phase 1,500000,income,Consulting
2024-04-05,Monthly Internet Subscription,25000,expense,Software
2024-04-10,Product Sales - Web Store,85000,income,Sales
2024-04-15,Team Lunch,12000,expense,Travel
2024-04-01,Office Rent Payment,150000,expense,Rent
2024-04-02,Client Project - Phase 1,500000,income,Consulting
2024-04-05,Monthly Internet Subscription,25000,expense,Software
2024-04-10,Product Sales - Web Store,85000,income,Sales
2024-04-15,Team Lunch,12000,expense,Travel
2024-04-01,Office Rent Payment,150000,expense,Rent
2024-04-02,Client Project - Phase 1,500000,income,Consulting
2024-04-05,Monthly Internet Subscription,25000,expense,Software
2024-04-10,Product Sales - Web Store,85000,income,Sales
2024-04-15,Team Lunch,12000,expense,Travel
2024-04-01,Office Rent Payment,150000,expense,Rent
2024-04-02,Client Project - Phase 1,500000,income,Consulting
2024-04-05,Monthly Internet Subscription,25000,expense,Software
2024-04-10,Product Sales - Web Store,85000,income,Sales
2024-04-15,Team Lunch,12000,expense,Travel
2024-04-01,Office Rent Payment,150000,expense,Rent
2024-04-02,Client Project - Phase 1,500000,income,Consulting
2024-04-05,Monthly Internet Subscription,25000,expense,Software
2024-04-10,Product Sales - Web Store,85000,income,Sales
2024-04-15,Team Lunch,12000,expense,Travel
2024-04-01,Office Rent Payment,150000,expense,Rent
2024-04-02,Client Project - Phase 1,500000,income,Consulting
2024-04-05,Monthly Internet Subscription,25000,expense,Software
2024-04-10,Product Sales - Web Store,85000,income,Sales
2024-04-15,Team Lunch,12000,expense,Travel
2024-04-01,Office Rent Payment,150000,expense,Rent
2024-04-02,Client Project - Phase 1,500000,income,Consulting
2024-04-05,Monthly Internet Subscription,25000,expense,Software
2024-04-10,Product Sales - Web Store,85000,income,Sales
2024-04-15,Team Lunch,12000,expense,Travel
2024-04-01,Office Rent Payment,150000,expense,Rent
2024-04-02,Client Project - Phase 1,500000,income,Consulting
2024-04-05,Monthly Internet Subscription,25000,expense,Software
2024-04-10,Product Sales - Web Store,85000,income,Sales
2024-04-15,Team Lunch,12000,expense,Travel
2024-04-01,Office Rent Payment,150000,expense,Rent
2024-04-02,Client Project - Phase 1,500000,income,Consulting
2024-04-05,Monthly Internet Subscription,25000,expense,Software
2024-04-10,Product Sales - Web Store,85000,income,Sales
2024-04-15,Team Lunch,12000,expense,Travel
2024-04-01,Office Rent Payment,150000,expense,Rent
2024-04-02,Client Project - Phase 1,500000,income,Consulting
2024-04-05,Monthly Internet Subscription,25000,expense,Software
2024-04-10,Product Sales - Web Store,85000,income,Sales
2024-04-15,Team Lunch,12000,expense,Travel
